"branch","cluster_id","completed_at","created_at","git_commit_message","git_commit_sha","git_commit_url","job_id","job_key","job_label","job_number","job_title","owner_login","proc_id","remote_dir","remote_host","remote_user","repo","source_folder_url","status","submitted_at","target_folder","task","task_name"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25114","2026-07-11T11:24:06.468695+00:00","2026-07-11T08:54:00.249926+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","j3a34366d314","opr-terminal-penalty-lf-11-timevaryingcv","Job 3816",3816,"Step 12 sensitivity: 11 Time-varying CV","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003816","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:04.583112+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25115","2026-07-11T15:28:10.761257+00:00","2026-07-11T08:54:04.891745+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","j670f090ea6e","opr-terminal-penalty-lf-12p001-y73-e1-w000-fgroup","Job 3817",3817,"Step 12 sensitivity: Sensitivity Y73-E1-W000-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003817","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:09.722700+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25116","2026-07-11T15:58:32.274028+00:00","2026-07-11T08:54:10.007490+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","j3532cf337c3","opr-terminal-penalty-lf-12p002-y73-e1-w025-fgroup","Job 3818",3818,"Step 12 sensitivity: Sensitivity Y73-E1-W025-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003818","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:14.059753+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25117","2026-07-11T15:57:27.549433+00:00","2026-07-11T08:54:14.304080+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jd341ade6901","opr-terminal-penalty-lf-12p003-y73-e1-w050-fgroup","Job 3819",3819,"Step 12 sensitivity: Sensitivity Y73-E1-W050-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003819","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:18.860332+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25118","2026-07-11T16:00:44.223552+00:00","2026-07-11T08:54:19.164774+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jbf6022618a8","opr-terminal-penalty-lf-12p004-y73-e1-w100-fgroup","Job 3820",3820,"Step 12 sensitivity: Sensitivity Y73-E1-W100-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003820","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:22.830747+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25119","2026-07-11T15:16:54.695863+00:00","2026-07-11T08:54:23.116697+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jbc854e7308f","opr-terminal-penalty-lf-12p005-y73-e1-w200-fgroup","Job 3821",3821,"Step 12 sensitivity: Sensitivity Y73-E1-W200-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003821","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:27.916478+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25120","2026-07-11T14:17:43.789725+00:00","2026-07-11T08:54:28.208294+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jc29832dacc1","opr-terminal-penalty-lf-12p006-y72-e1-w000-fgroup","Job 3822",3822,"Step 12 sensitivity: Sensitivity Y72-E1-W000-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003822","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:33.282944+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25121","2026-07-11T14:19:50.060996+00:00","2026-07-11T08:54:33.544514+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","j9916432b8a5","opr-terminal-penalty-lf-12p007-y72-e1-w025-fgroup","Job 3823",3823,"Step 12 sensitivity: Sensitivity Y72-E1-W025-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003823","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:40.021703+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25122","2026-07-11T13:39:02.680405+00:00","2026-07-11T08:54:40.259097+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jfd3f8896d3e","opr-terminal-penalty-lf-12p008-y72-e1-w050-fgroup","Job 3824",3824,"Step 12 sensitivity: Sensitivity Y72-E1-W050-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003824","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:45.665467+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
"experiment/step12-opr-terminal-penalty-lf-sensitivity","25123","2026-07-11T13:49:53.484478+00:00","2026-07-11T08:54:45.912336+00:00","Add fit-only sensitivity screening","d4dd5c88169f5953052ba95c30b3d1312bf2a0da","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","jd000c46b374","opr-terminal-penalty-lf-12p009-y72-e1-w100-fgroup","Job 3825",3825,"Step 12 sensitivity: Sensitivity Y72-E1-W100-FGroup","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf/job-003825","suvofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/d4dd5c88169f5953052ba95c30b3d1312bf2a0da","completed","2026-07-11T08:54:51.643541+00:00","","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf","ofp-sam-bet-2026-stepwise-opr-terminal-penalty-lf"
