"Group","Tag programmes","Pooled matrix row","Fisheries","Release groups","Release years","Estimated","Fitted RR"
1,"RTTP, PTTP","Yes","1-2,4-10","1-61","1989-1992,2006-2013,2015-2021","Yes","0.258"
2,"RTTP, PTTP","Yes","3","1-61","1989-1992,2006-2013,2015-2021","No","--"
3,"RTTP, PTTP","Yes","11","1-61","1989-1992,2006-2013,2015-2021","No","--"
4,"RTTP","No","12","1-15","1989-1992","No","--"
5,"RTTP","No","13","1-15","1989-1992","No","--"
6,"RTTP","No","14-18,21-22","1-15","1989-1992","Yes","0.637"
7,"RTTP","No","19-20","1-15","1989-1992","Yes","0.625"
8,"RTTP","No","23","1-15","1989-1992","No","--"
9,"RTTP","No","24","1-15","1989-1992","No","--"
10,"RTTP","No","25,27","1-15","1989-1992","Yes","0.567"
11,"RTTP","No","26,28","1-15","1989-1992","No","--"
12,"PTTP","Yes","12-13","16-61","2006-2013,2015-2021","No","--"
13,"PTTP","Yes","14-18,21-22","16-61","2006-2013,2015-2021","Yes","0.461"
14,"PTTP","Yes","19-20","16-61","2006-2013,2015-2021","Yes","0.503"
15,"PTTP","Yes","23","16-61","2006-2013,2015-2021","No","--"
16,"PTTP","Yes","24","16-61","2006-2013,2015-2021","No","--"
17,"PTTP","Yes","25,27","16-61","2006-2013,2015-2021","Yes","0.732"
18,"PTTP","Yes","26,28","16-61","2006-2013,2015-2021","Yes","0.843"
19,"JPTP","No","1","62-98","2000-2010,2012,2014,2017","Yes","0.665"
20,"JPTP","No","2,4-10","62-98","2000-2010,2012,2014,2017","Yes","0.159"
21,"JPTP","No","3","62-98","2000-2010,2012,2014,2017","No","--"
22,"JPTP","No","11","62-98","2000-2010,2012,2014,2017","No","--"
23,"JPTP","No","12-13","62-98","2000-2010,2012,2014,2017","Yes","0.990"
24,"JPTP","No","14-15,17-18,21-22","62-98","2000-2010,2012,2014,2017","No","--"
25,"JPTP","No","16","62-98","2000-2010,2012,2014,2017","No","--"
26,"JPTP","No","19-20","62-98","2000-2010,2012,2014,2017","No","--"
27,"JPTP","No","23","62-98","2000-2010,2012,2014,2017","No","--"
28,"JPTP","No","24","62-98","2000-2010,2012,2014,2017","No","--"
29,"JPTP","No","25,27","62-98","2000-2010,2012,2014,2017","Yes","0.173"
30,"JPTP","No","26,28","62-98","2000-2010,2012,2014,2017","No","--"
